大类,二级分类,章节,题目类型,题目标题,【选择题】选项A,【选择题】选项B,【选择题】选项C,【选择题】选项D,【选择题】选项E,【选择题】选项F,正确答案,题目难度,解析
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,小东分别采用以下参数录制一段30秒的音频：下列选项正确的是（   ）,④比①的音质好,②比①的存储容量小,③比④的存储容量大,①比③的音质好,,,['A'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列关于数据与信息的说法，不正确的是（   ）,信息具有时效性和真伪性,信息经过加工、处理后会引起价值的改变,信息是数据的载体，没有信息就没有数据,信息可以重复利用，不会因为被别人获取而发生损耗,,,['C'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列关于数据与大数据的说法，正确的是（   ）,"<p>数据是现代科学研究的重要资源</p>
","<p>计算机中的数据都以十进制数编码存储</p>
","<p>大数据的数据量庞大，价值密度高</p>
","<p>大数据的应用降低了用户隐私信息泄露的风险</p>
",,,['A'],0,"<p>数据是现代科学研究的重要资源;大数据的数据量庞大,价值密度低; 计算机中的数据都以二进制形式存储;大数据的应用提高了用户隐私信息泄露的风险,故本题选A选项</p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列有关信息的数字化与编码的说法，不正确的是（   ）,数字化是指将模拟信号转换成数字信号的过程,条形码与二维码中的信息可以由专用设备扫描获取,图像数字化一般需要经过采样、量化与编码过程,声音的数字化过程中，信号保真度与采样频率有关，与量化位数无关,,,['D'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列关于数据信息的说法，正确的是（   ）,"<p>手机中看到的亚运会会旗是以数字化形式存储的</p>
","<p>文字&ldquo;2023上海进博会&rdquo;中只有&ldquo;2023&rdquo;是数据</p>
","<p>今天和昨天的股票价格所体现的信息价值是一样的</p>
","<p>高铁进站检票无需取纸质票，通过刷身份证即可入站，说明信息可以不依附于载体</p>
",,,['A'],0,<p>A ：手机中看到的亚运会会旗图像等内容都是以数字化形式存储和处理的，通过将图像转化为数字信号等方式存储在手机的存储设备中，该选项说法正确。<br />B ：文字 &ldquo;2023 上海进博会&rdquo; 中的 &ldquo;2023&rdquo; 是数字形式的数据，&ldquo;上海进博会&rdquo; 从广义上来说也是数据，是文本数据，该选项说法错误。<br />C ：今天和昨天的股票价格所体现的信息价值是不一样的，因为股票价格是实时变动的，不同时间的价格反映了不同的市场情况和公司动态等信息，具有不同的参考价值，该选项说法错误。<br />D ：高铁进站检票刷身份证，信息是依附于身份证这个载体的，不存在不依附于载体的信息，该选项说法错误。</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列关于大数据及数据安全的说法，不正确的是（   ）,为了提高账户安全，不同的网站登录使用不同的密码,保护数据的安全不仅要提高数据本身的安全，也要保护存储数据的介质,基于大数据技术，个别数据不准确不会影响数据分析,大数据的数据规模大，因此分析数据只针对抽样数据，而不是全体数据,,,['D'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列有关数据、信息、知识、智慧的说法，不正确的是（    ）,数据、信息、知识是过去的经验，而智慧是对未来的新奇探索,3.14是一个数据，3.14作为圆周率的近似值是信息,信息反映事物的状态，不会随着时间的推移而变化,与数据和信息相比，知识更接近行动，它与决策相关,,,['C'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,体质健康大数据服务于人们的健康，智能交通大数据有利于人们的出行，环境资源大数据助力政府决策……下列有关大数据特征的说法不正确的是（    ）,大数据的体量巨大,大数据可以产生价值，而且是价值密度相对偏高,大数据生成速度快，而且一般要求在短时间内处理完毕,大数据的种类繁多，包括结构化、非结构化、半结构化数据,,,['B'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,对某灰度图像进行数字化，每个像素取值为0-199共200级灰度中的某一个级别，则颜色位深数最少是（    ）,"<p>7</p>
","<p>8</p>
","<p>16</p>
","<p>200</p>
",,,['B'],0,"<p><img alt="""" src=""https://static.dingkao.cn/202412/2b9f48a43a723a10/44bd93de7cd06c81.png"" style=""max-width:100%;border:0"" /></p><p>故选B。</p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,如图1所示“music.wav”被压缩生成了“music.rar”文件， 如图2所示“拼图.bmp”被压缩生成了“拼图.jpg”文件。以下叙述正确的是（   ）,图1所示的压缩是“有损压缩”，压缩后的数据无法还原成原始数据,图2所示的压缩是“有损压缩”，解压缩后的数据与原始数据完全相同,图2所示的压缩是“无损压缩”，压缩后的数据无法还原成原始数据,图1所示的压缩是“无损压缩”，解压缩后的数据与原始数据完全相同,,,['D'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,一幅 1024*768 像素 24 位真彩色 BMP 图像的存储空间是（    ）,"<p>2.5KB</p>
","<p>2.25MB</p>
","<p>6.75MB</p>
","<p>25GB</p>
",,,['B'],0,"<p>首先明确 BMP 图像文件大小的计算公式：<br />图像数据量 = 图像的水平分辨率 &times; 图像的垂直分辨率 &times; 图像深度（位）/8（单位为字节 B）。</p><p><img alt="""" src=""https://static.dingkao.cn/202412/ae9c93eb0c085691/e6acb34671d1ccce.png"" style=""max-width:100%;border:0"" /></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,互联网、移动网络、物联网等每天都产生着大量数据，这些数据规模巨大，格式多样，已经很难用传统的方式进行处理。与此同时，随着数据量的增长速度越来越快，如何有效管理数据和保证数据安全成为各行各业都面临的问题。于是，大数据技术应运而生，通过分析、挖掘这些数据，发现其蕴藏的价值。下列关于数据和大数据的说法，不正确的是（   ）,"<p>大数据强调对事物因果关系的探求</p>
","<p>大数据要分析的是全体数据</p>
","<p>大数据处理时能够接受数据的混杂性</p>
","<p>大数据给生活带来便利的同时也加大了用户隐私数据信息泄露的风险</p>
",,,['A'],0,<p>A：传统数据分析往往侧重于探求事物的因果关系，而大数据更关注数据之间的相关性，而不是因果关系。通过发现数据中的相关性，可以做出预测和决策，而不一定需要明确的因果关系。所以 A 选项不正确。<br />&nbsp;B ：大数据的一个特点是要分析的是全体数据（或尽可能多的数据），而不是抽样数据。这样能更全面地反映事物的真实情况，B 选项正确。<br />&nbsp;C ：大数据能够接受数据的混杂性，即可以处理各种类型、质量不一的数据。传统的数据处理往往要求数据是精确和规范的，而大数据可以从海量的、不那么精确的数据中挖掘出有价值的信息，C 选项正确。<br />&nbsp;D：大数据在给生活带来便利的同时，比如通过个性化推荐等服务，也确实加大了用户隐私数据信息泄露的风险。因为大数据处理涉及大量用户数据，一旦数据安全措施不到位，就可能导致用户隐私泄露，D 选项正确。</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,关于数据和信息说法不正确的是（   ）,"<p>结绳记事中&ldquo;大事大结 ，小事小结&rdquo;，绳结是信息</p>
","<p>数据是对客观事物的符号表示</p>
","<p>信息是数据经分析、解释后得到的</p>
","<p>信息是用来消除随机不确定性的东西</p>
",,,['A'],0,<p>A ：结绳记事中，&ldquo;大事大结，小事小结&rdquo;，绳结是数据，是对事件大小这一客观事物的符号表示，而通过绳结所传达出来的事件大小等含义才是信息，该选项说法错误。<br />B ：数据是对客观事物的符号表示，在计算机科学中，数据可以是数字、文字、图像、声音等各种形式，它们都是对现实世界中事物的一种记录和表示，该选项说法正确。<br />C ：信息是数据经过分析、解释后得到的有意义的内容。数据本身可能是杂乱无章的，只有经过处理和分析，从中提取出有价值的内容，才能成为信息，该选项说法正确。<br />D ：这是香农对信息的定义，信息能够减少或消除人们对事物认识的不确定性，帮助人们做出决策和判断，该选项说法正确。</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列关于大数据的说法，不正确的是（    ）,大数据就是指数据量庞大的数据,处理大数据时，一般采用分治思想,导航规划最优行驶路径，是大数据的典型应用,大数据的应用会带来各种社会问题，如信息泄露等,,,['A'],0,<p>数据并不仅仅是指数据量庞大的数据，还具有多样性（Variety）、高速性（Velocity）、价值性（Value）和真实性（Veracity）等特点。</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列关于数据、信息与知识的说法，正确的是（    ）,真实的数据一定是信息,信息一旦产生，就会产生损耗,人们接收同样的信息后，会形成相同的知识,计算机中的数据都是以二进制方式存储,,,['D'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,使用UltraEdit 软件观察字符内码，部分界面如图所示。下列说法正确的是（   ）,"<p>图中共有 3 个GB2312字符</p>
","<p>&ldquo;1&rdquo;的内码用二进制表示是00110001</p>
","<p>存储全部字符共占用 16b 的存储空间</p>
","<p>&ldquo;j&rdquo;的内码用十六进制表示是 7C</p>
",,,['B'],0,"<p><img alt="""" src=""https://static.dingkao.cn/202501/f80c15528cca0847/cb9245d4dbc57d5d.png"" style=""max-width:100%;border:0"" /></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列有关数字化的说法，正确的是（    ）,"<p>数码照相机拍照片的过程是模数转换的过程</p>
","<p>录音时，说话者的声音越大，得到的音频文件占用的存储空间也越大</p>
","<p>量化位数越大，说明采集声音时每秒钟得到的采样点越多</p>
","<p>一张图像的位深度为8，说明这张图像最多可以呈现255种不同的颜色</p>
",,,['A'],0,"<p><img alt="""" src=""https://static.dingkao.cn/202412/ed2636cf11c32b69/68b6279cb5874e96.png"" style=""max-width:100%;border:0"" /></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,“人体正常体温平均在36~37℃之间”，此处的“37℃”是知识。(_____ ),正确,错误,,,,,['B'],0,<p>知识通常指个体通过经验或学习获得的、经过加工和组织的系统性认识，能够解释现象或指导实践。而题目中&ldquo;37℃&rdquo;是一个具体的事实性数据，属于原始信息（或&ldquo;信息&rdquo;层面），而非经过深度加工或系统化的&ldquo;知识&rdquo;。<br />故选B错误</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,数字化工具与资源和传统的学习工具与资源相比较，其最大的优势是互动性。(_____  ),正确,错误,,,,,['A'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,大数据其实就是大型数据库系统。(_____),正确,错误,,,,,['B'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,在数字化环境下不可以做实验。(_____),正确,错误,,,,,['B'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,2022年4月初，太原市各中学再次开启了“停课不停学、离校不离教”线上教学。钉钉在线课堂教学过程中，老师运用思维导图软件结束课堂，再一次对教学内容概括和归纳，帮助学生理清知识脉络，把握重点，运用钉钉答题卡功能当堂检测每个学生学习效果，进而有针对性、更精准的辅导。山西教育出版社及时更新电子版《高中同步练习册》，师生不受时空和传递方式的限制，便捷获取该资源这体现了数字化学习的优势。(_____),正确,错误,,,,,['A'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,数据经过加工处理之后，就成为信息；而信息需要经过数字化转变成数据才能存储和传输。    (_____ ),正确,错误,,,,,['A'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,“看云识天气”这里的“云”是信息的载体。(_____ ),正确,错误,,,,,['A'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,在获取信息时我们首先要确定信息的来源。,正确,错误,,,,,['B'],0,在获取信息时我们首先要确定信息的需求。
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,字符、数字和各种数学符号、图像、音视频动画等，这些可以识别的记号或符号都称为数据，数据即信息。(_____),正确,错误,,,,,['B'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,11100101（2） = (__________ )（16）,,,,,,,<p>E5</p>,0,<p>从右向左每四位分组为1110和0101，分别转换为十六进制E和5，组合得E5。</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,E2（16） = (__________ )（2）,,,,,,,<p>11100010</p>,0,<p>十六进制数E2中，E对应十进制14，二进制为1110；2对应十进制2，二进制为0010。因此，E2（16） = 11100010（2）。</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,100（10） = (__________   )（2）,,,,,,,1100100,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,255（10） = (__________ )（16）,,,,,,,<p>FF</p>,0,"<p>（255）<span style=""font-size:8px;"">10</span>=（1111 1111）<span style=""font-size:8px;"">2</span>=（F F）<span style=""font-size:8px;"">16</span></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,3D（16） = (__________   )（10）,,,,,,,61,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,10110100（2） = (__________ )（10）,,,,,,,<p>180</p>,0,<p>128+0+32+16+0+4+0+0=180。</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,用WinHex观察一段文字 teacher：平时不努力考试两行泪可以发现每个汉字的内码是__________  个字节。,,,,,,,2,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,小申用录音软件录制了一段音频，介绍了这次参观活动的感受，声音文件的采样频率为6000Hz，量化位数为16，单声道，长度为5分钟，如果保存为WAV格式，这段声音文件的数据量约为_____KB。(保留1位小数)小申试听了一下，发现音质很差，无法听清他介绍的内容，原因可能是：_____。,,,,,,,3515.6；采样频率偏低，量化位数偏少，声道数量少,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,小申在科技馆拍了很多照片，回家后，用画图软件进行了编辑和处理，图像的分辨率为1024*768，以下是小申选择的保存类型，那么，每张图像的数据量为_____MB。,,,,,,,2.25MB,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,问答题,网站给用户自动推荐商品的依据是什么？采用了什么分析方法？,,,,,,,站给用户自动推荐商品的依据是用户行为。用户行为用户行为也叫做用户事件，是指用户作用于产品或网站页面的一系列行为。比如用户在一个电商网站访问、注册、登陆、搜索商品、浏览商品、对比商品、加入购物车、提交订单、支付订单等具体的操作行为。采用了 聚类分析，聚类分析是一种探索性的分析，在分类的过程中，人们不必事先给出一个分类的标准，聚类分析能够从样本数据出发、自动进行分类。,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,问答题,网站数据可能对用户产生哪些影响？,,,,,,,任何事物都有两面性，我们上网浏览、出行、购物都被记录了，人人都成了数据的生成者和贡献者。数据带来的整体性变革，也使得数据的隐私保护的形势显得越发严峻。,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,问答题,D8H转换成10进制,,,,,,,<p>216</p>,0,"<p><img alt="""" src=""https://static.dingkao.cn/202511/428f249f9c42733f/c768587973c2e9bf.png"" style=""max-width:100%;border:0"" /></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,问答题,81H转换成2进制,,,,,,,<p>10000001</p>,0,<p>81H有两位：高位是 8，低位是 1。<br />​将每位十六进制数转换为 4 位二进制数​：<br />8（十六进制）&rarr; 对应的二进制是 ​1000​（因为 8 = 2&sup3;）。<br />1（十六进制）&rarr; 对应的二进制是 ​0001​（因为 1 = 2⁰）。<br />将两个二进制部分按顺序连接：1000+ 0001= ​10000001。</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,问答题,A3H转换成10进制,,,,,,,<p>163</p>,0,"<p><img alt="""" src=""https://static.dingkao.cn/202501/c8d35b1349587d53/01a0248322532dcc.png"" style=""max-width:100%;border:0"" /></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,问答题,56转换成2进制,,,,,,,<p>111000</p>,0,<p>对 56 进行转换：<br />​56 &divide; 2 = 28，余数 ​0​<br />​28 &divide; 2 = 14，余数 ​0​<br />​14 &divide; 2 = 7，余数 ​0​<br />​7 &divide; 2 = 3，余数 ​1​（因为 7 &divide; 2 商 3 余 1）<br />​3 &divide; 2 = 1，余数 ​1​（因为 3 &divide; 2 商 1 余 1）<br />​1 &divide; 2 = 0，余数 ​1​（因为 1 &divide; 2 商 0 余 1）<br />现在，余数序列从下往上（从最后一个余数开始）读取：<br />最后一个余数是 ​1​（来自步骤 6）<br />然后是 ​1​（来自步骤 5）<br />然后是 ​1​（来自步骤 4）<br />然后是 ​0​（来自步骤 3）<br />然后是 ​0​（来自步骤 2）<br />然后是 ​0​（来自步骤 1）<br />因此，二进制表示为 ​111000。</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,在大数据时代，网络信息的采集是一项重要的工作，如果单纯靠人力进行网络信息采集，不仅低效繁琐，搜集的成本也会提高。此时，我们可以合法使用(_____  )对网络数据进行自动采集。,系统日志,网络爬虫,传感器,问卷调查,,,['B'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,大数据存储技术是大数据领域的另一个关键技术，人们利用(_____  )代替集中式存储，这种存储方式能够支持多台处理器或多个计算机节点并行计算来提高解决问题的效率。,分布式存储,本地存储,移动存储,磁带存储,,,['A'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,某国的一家大型连锁超市通过利用信息系统对大量的销售数据进行了特定的分发现一个“奥秘”，于是这家超市就把尿布和啤酒这两种看起来没有关联的商品摆放在一起销售，结果销售量大幅增加。原来，超市经营者从数据分析中发现，婴儿尿布通常是男人们下班时购买的，而他们在购买尿布时又会顺便购买自己爱喝的啤酒。这个案例中的超市信息系统应用了大数据分析中的哪种技术？(_____  ),聚类分析,关联分析,分类分析,回归分析,,,['B'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,导航软件提供了“未来出行”功能，用户可以设定未来出行时间，软件利用大数据分析，预估未来行程所需时长，为用户合理规划出行时间提供参考。这一功能凸显了大数据分析的哪一个核心作用？(_____  ),了解事物的现状,剖析事物的发展历程,预测事物的未来走向,数据价值化,,,['D'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,如图是一张火车票，上面有时间、目的地、身份证号码等数据，则下列说法错误的是(_____  ),数据采集技术的迅速发展，数据的表现形式也越来越多样化，给人们的生活带来了巨大的改变,只有云计算、物联网、大数据等技术才能体现数据与生活,在人们的日常生活中数据无处不在,对于身份证号码等涉及个人隐私的数据要注意保护,,,['B'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,在计算机中，字符转换为“0”和“1”构成的8位编码，则字符A的二进制编码为：__________________________________________。,,,,,,,1000001,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,根据上表可知，字符“8”的ASCII值是：___________________。,,,,,,,56,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,小明设计了一种对字符的加密算法，对每一个ASCII字符做-6操作，如字母G加密后的ASCII码是65，即为“A”。则“OK”加密后的结果是：___________________。,,,,,,,IE,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,该图为24*24的点阵图，其通过黑、白像素进行编码，每个点用一个二进制位表示，存储该编码需要个___________________字节。（填计算公式和结果）,,,,,,,文件大小=图像分辨率*量化位数/8<br>24*24*1/8=72,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,如果用0表示白点，用1表示黑点，截取图片中的一小部分，则截取部分第一字节的二进制编码为______________________。,,,,,,,<p>00100100</p>,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,其十进制的编码为______________________。,,,,,,,36,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,模拟信号转换为数字信号一般经过__________、__________、_________3个步骤。,,,,,,,采样;量化;编码,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,以上信号图的X轴表示的是__________。,,,,,,,时间,0,
职业适应性测试,信息技术必修一,第一章 数据与信息,填空题,已知该段音频时长2秒，采样频率为44.1KHZ、量化位数为16位的双声道立体声，则该段音频的数据量为__________B。,,,,,,,<p>352800</p>,0,"<p><img alt="""" src=""https://static.dingkao.cn/202501/79e15fde94c4df54/5793dc7eab13a18f.png"" style=""max-width:100%;border:0"" /></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,同一客观事物（如新冠肺炎疫情）可以用不同的数据描述。(_____ ),正确,错误,,,,,['A'],0,<p>以新冠肺炎疫情为例，可从确诊病例数、疑似病例数、死亡病例数、治愈病例数、不同地区分布数据、不同时间阶段的新增数据（如每日新增确诊、新增死亡等 ）、不同人群（年龄、性别等维度）的数据等多个角度去描述，这些不同的数据从各自侧面反映疫情相关情况，所以同一客观事物（新冠肺炎疫情）能够用不同的数据描述，该表述正确</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,在计算机科学中，仅有文字数字、数值、字符、颜色、表、图可作为数据。(_____ ),正确,错误,,,,,['B'],0,<p>在计算机科学里，数据的范畴很广，除了文字数字、数值、字符、颜色、表、图 ，还包括音频、视频、图像（除单纯的图概念更宽泛 ）、传感器采集的各类信号（如温度、压力传感器数据 ）等，这些都能作为数据被计算机存储、处理和分析，所以题干 &ldquo;仅有&hellip;&hellip; 可作为数据&rdquo; 的表述错误</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,疫情实时数据记录的形式有汉字、颜色、图等，因此数据具有二进制性特征。(_____ ),正确,错误,,,,,['B'],0,<p>数据的二进制性是指在计算机系统中，数据最终是以 0 和 1 组成的二进制代码形式存储和处理 。而题干中说疫情实时数据记录形式（汉字、颜色、图等 ）体现数据具有二进制性特征，这是错误关联，这些记录形式是数据的表现形态，并非体现二进制性，二进制性是从计算机底层存储和处理机制角度而言，所以该表述错误</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,图1中用深红色突出显示确诊人数在10000以上的地区，深红色是数据，也是载体，它所承载的信息是“新冠肺炎确诊人数≥10000”。(_____ ),正确,错误,,,,,['A'],0,<p>在计算机领域中，数据是信息的载体，信息是数据的内涵。</p><p>深红色作为一种视觉符号（数据），通过颜色编码的方式传递了特定信息 &mdash;&mdash;&ldquo;新冠肺炎确诊人数&ge;10000&rdquo;</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,判断题,信息是经过加工处理的，具有意义的数据，所以信息和数据是等价的。(_____ ),正确,错误,,,,,['B'],0,<p>数据是未经加工的原始素材，例如原始的确诊病例数、体温数值、字符等，本身不具备明确意义。 信息是对数据进行加工处理后形成的有意义的内容。例如，将 &ldquo;每日新增确诊病例数&rdquo; 数据绘制成趋势图，或分析得出 &ldquo;某地区疫情增速放缓&rdquo; 的结论，此时才成为信息。</p>
